"TEV";"MHO";"MG05";"MG02";"MG58";"GADC041"
"2019";"01";"Ásotthalom közút";"Ausztria";"Belépő";628
"2019";"01";"Ásotthalom közút";"Ausztria";"Kilépő";123
"2019";"01";"Ásotthalom közút";"Belgium";"Belépő";7
"2019";"01";"Ásotthalom közút";"Bulgária";"Belépő";136
"2019";"01";"Ásotthalom közút";"Bulgária";"Kilépő";3
"2019";"01";"Ásotthalom közút";"Csehország";"Belépő";7
"2019";"01";"Ásotthalom közút";"Csehország";"Kilépő";12
"2019";"01";"Ásotthalom közút";"Egyesült Királyság";"Belépő";4
"2019";"01";"Ásotthalom közút";"Egyesült Királyság";"Kilépő";6
"2019";"01";"Ásotthalom közút";"Franciaország";"Belépő";4
"2019";"01";"Ásotthalom közút";"Franciaország";"Kilépő";5
"2019";"01";"Ásotthalom közút";"Hollandia";"Belépő";13
"2019";"01";"Ásotthalom közút";"Hollandia";"Kilépő";1
"2019";"01";"Ásotthalom közút";"Horvátország";"Belépő";337
"2019";"01";"Ásotthalom közút";"Horvátország";"Kilépő";152
"2019";"01";"Ásotthalom közút";"Lengyelország";"Belépő";4
"2019";"01";"Ásotthalom közút";"Lengyelország";"Kilépő";2
"2019";"01";"Ásotthalom közút";"Luxemburg";"Belépő";1
"2019";"01";"Ásotthalom közút";"Luxemburg";"Kilépő";1
"2019";"01";"Ásotthalom közút";"Magyarország";"Belépő";7994
"2019";"01";"Ásotthalom közút";"Magyarország";"Kilépő";5252
"2019";"01";"Ásotthalom közút";"Málta";"Belépő";1
"2019";"01";"Ásotthalom közút";"Németország";"Belépő";526
"2019";"01";"Ásotthalom közút";"Németország";"Kilépő";63
"2019";"01";"Ásotthalom közút";"Norvégia";"Belépő";3
"2019";"01";"Ásotthalom közút";"Norvégia";"Kilépő";9
"2019";"01";"Ásotthalom közút";"Olaszország";"Belépő";17
"2019";"01";"Ásotthalom közút";"Románia";"Belépő";42
"2019";"01";"Ásotthalom közút";"Románia";"Kilépő";22
"2019";"01";"Ásotthalom közút";"Svájc";"Belépő";98
"2019";"01";"Ásotthalom közút";"Svájc";"Kilépő";20
"2019";"01";"Ásotthalom közút";"Svédország";"Belépő";10
"2019";"01";"Ásotthalom közút";"Svédország";"Kilépő";1
"2019";"01";"Ásotthalom közút";"Szerbia";"Belépő";12577
"2019";"01";"Ásotthalom közút";"Szerbia";"Kilépő";5474
"2019";"01";"Ásotthalom közút";"Szlovákia";"Belépő";161
